Country;deathsMillion;bcg
australia;3,0;1
austria;50,0;1
belgium;490,0;1
brazil;12,0;1
canada;42,0;0
chile;7,0;1
czechia;17,0;1
denmark;61,0;1
ecuador;27,0;1
finland;17,0;1
France;302,0;1
germany;55,0;1
greece;11,0;1
hungary;21,0;1
iceland;26,0;0
indonesia;2,0;1
iran;61,0;1
ireland;124,0;1
israel;20,0;0
italy;391,0;1
japan;2,0;1
Luxembourg;117,0;0
malaysia;3,0;1
netherlands;215,0;1
new zealand;2,0;0
norway;30,0;1
pakistan;0,8;1
poland;10,0;1
Portugal;70,0;1
qatar;3,0;1
romania;23,0;1
s.korea;5,0;1
saudi arabia;3,0;1
singapore;2,0;1
spain;437,0;1
sweden;152,0;0
switzerland;161,0;1
thailand;0,7;1
turkey;24,0;1
uk;237,0;1
usa;123,0;0
